city,lat,lon,temp,humidity,wind,cloudiness,country
Kapaa,22.08,-159.32,78.8,78,13.87,1,US
Saint Paul Harbor,57.79,-152.41,42.8,87,4.7,75,US
Bluff,-46.6,168.33,45.0,72,11.01,76,NZ
Nabire,-3.37,135.48,76.55,88,3.0,100,ID
Severo-Kuril'sk,50.68,156.12,52.27,73,2.15,91,RU
Hilo,19.73,-155.09,75.2,83,3.36,75,US
Rikitea,-23.12,-134.97,71.71,80,16.55,13,PF
Burns Lake,54.23,-125.75,63.73,62,3.04,79,CA
Punta Arenas,-53.15,-70.92,42.8,75,10.29,40,CL
George Town,5.41,100.34,80.6,88,3.36,20,MY
Bredasdorp,-34.53,20.04,55.4,87,4.7,100,ZA
Arraial do Cabo,-22.97,-42.03,80.6,74,10.29,19,BR
Carahue,-38.7,-73.17,55.4,66,2.24,20,CL
Kaitangata,-46.28,169.85,48.99,50,1.01,83,NZ
Chokurdakh,70.63,147.92,40.37,70,10.47,100,RU
Chapais,49.78,-74.85,51.8,76,10.29,75,CA
Mataura,-46.19,168.86,45.0,72,11.01,52,NZ
Forsytheganj,52.63,29.73,61.18,66,3.89,9,BY
Saki,45.14,33.6,67.96,78,5.95,100,UA
Gainesville,29.65,-82.32,98.01,52,3.74,20,US
Busselton,-33.65,115.33,63.0,71,21.32,82,AU
Vaini,-21.2,-175.2,68.0,68,10.29,75,TO
Dalian,38.91,121.6,79.0,88,4.47,40,CN
Puli,23.97,120.97,79.0,78,10.29,20,TW
Pevek,69.7,170.31,35.47,85,7.63,5,RU
Mchinji,-13.8,32.88,60.85,54,9.26,0,MW
Ushuaia,-54.8,-68.3,46.4,82,19.46,75,AR
Qaanaaq,77.48,-69.36,29.26,82,4.0,1,GL
Ust-Nera,64.57,143.2,46.06,66,4.65,76,RU
Khunti,23.08,85.28,80.6,83,4.61,75,IN
Albany,42.6,-73.97,75.99,32,8.03,7,US
Souillac,-20.52,57.52,69.8,83,12.75,75,MU
Baley,51.6,116.63,46.67,97,1.74,46,RU
Ponta do Sol,32.67,-17.1,73.0,68,3.0,77,PT
Pangoa,-12.12,-73.0,90.59,35,5.1,19,PE
Itaituba,-4.28,-55.98,104.67,17,5.1,74,BR
Goālpāra,26.17,90.62,80.53,83,1.66,30,IN
Jamestown,42.1,-79.24,66.0,63,13.87,90,US
Hithadhoo,-0.6,73.08,77.56,84,26.64,100,MV
Punta Alta,-38.88,-62.07,54.5,45,13.35,63,AR
Mossamedes,-15.2,12.15,65.19,72,2.84,0,AO
Colchester,51.89,0.9,62.6,48,12.75,52,GB
Mackay,-21.15,149.2,60.01,100,5.82,40,AU
Cidreira,-30.18,-50.21,57.96,92,15.61,100,BR
Bonthe,7.53,-12.51,79.11,80,10.22,75,SL
Saskylakh,71.92,114.08,37.22,88,9.35,66,RU
Puerto Ayora,-0.74,-90.35,73.4,64,13.87,40,EC
Nanortalik,60.14,-45.24,48.56,89,11.25,96,GL
Charters Towers,-20.1,146.27,59.54,89,5.5,0,AU
Belyy Yar,53.6,91.39,48.2,66,4.47,38,RU
Hermanus,-34.42,19.23,53.01,94,8.61,100,ZA
Ginir,7.13,40.7,62.17,81,3.94,20,ET
Yellowknife,62.46,-114.35,50.0,61,9.17,75,CA
Cascais,38.7,-9.42,82.0,32,13.87,0,PT
São Filipe,14.9,-24.5,80.73,75,2.26,100,CV
Tabou,4.42,-7.35,76.19,83,10.47,88,CI
Sola,-13.88,167.55,77.76,77,21.59,77,VU
Lenger,42.18,69.88,68.0,40,4.47,88,KZ
Cockburn Town,21.46,-71.14,86.0,70,10.29,75,TC
Fortuna,40.6,-124.16,68.0,68,8.05,20,US
Bud,39.45,-86.18,79.0,44,8.05,1,US
Gurupi,-11.73,-49.07,100.62,15,5.46,25,BR
Poronaysk,49.22,143.12,58.55,81,2.93,42,RU
Longyearbyen,78.22,15.64,42.8,100,2.24,90,SJ
Young,-32.68,-57.63,66.99,55,5.01,77,UY
Touros,-5.2,-35.46,84.2,54,17.22,40,BR
Bilma,18.69,12.92,101.88,14,3.56,64,NE
Kerrobert,51.92,-109.13,78.8,27,14.99,20,CA
